outcome,depth_atr,pullback_bars,volatility_ratio,impulse_size_atr,breakout_strength,hour,mfe_atr,mae_atr
1,1.387,2,1.635,1.703,0.191,23,1.779,-0.709
0,1.111,2,1.109,1.436,0.218,4,0.267,-1.722
1,1.255,2,1.078,0.944,2.917,9,2.917,-0.204
1,1.297,3,0.837,1.126,1.026,22,1.026,-0.154
0,1.059,2,1.096,3.578,0.089,14,0.089,-2.194
1,1.062,3,1.575,3.732,0.0,21,1.572,-0.9
0,1.642,2,0.894,2.728,0.732,4,0.732,-1.326
1,1.181,2,0.835,1.383,0.446,9,1.66,-0.463
1,1.427,4,0.62,1.363,0.719,8,1.156,-0.899
0,1.204,2,0.998,1.094,0.327,12,0.327,-1.405
0,1.445,3,0.749,1.65,0.345,19,0.345,-1.676
0,1.211,2,0.724,2.117,0.337,22,0.337,-1.737
0,1.722,3,1.052,1.428,0.328,16,0.328,-1.311
1,1.478,3,1.046,2.253,1.463,23,1.463,-0.01
0,1.222,4,0.957,1.492,0.14,11,0.14,-1.301
1,1.909,2,1.158,0.935,0.48,16,1.384,-0.312
1,1.215,3,0.642,1.072,0.331,18,1.31,-1.187
1,1.485,3,0.519,0.137,1.76,5,1.76,-0.001
0,1.205,4,1.286,1.434,0.973,9,0.973,-1.335
1,1.07,2,0.937,2.543,0.831,3,1.098,-0.055
1,1.016,2,1.246,1.163,1.81,16,1.81,0.0
1,1.534,2,0.826,0.853,0.311,19,1.027,-0.469
0,2.51,3,0.76,2.035,0.37,0,0.575,-3.131
1,1.29,2,0.882,1.528,0.42,0,1.525,-0.147
1,1.044,2,1.631,2.644,1.035,15,1.035,-0.024
0,1.653,2,1.348,1.314,0.407,16,0.736,-1.577
1,1.143,2,0.846,1.528,0.093,17,1.099,-1.192
1,1.094,2,0.963,2.31,0.971,10,1.281,-1.292
1,1.323,2,2.101,2.949,1.35,15,1.35,-0.404
0,1.473,2,1.386,2.483,0.499,14,0.98,-1.722
1,1.979,2,0.886,1.981,0.04,12,1.156,-1.299
0,1.232,3,0.792,1.383,0.2,23,0.428,-1.304
1,1.542,3,0.758,1.889,0.629,9,2.505,-0.0
0,2.431,2,0.981,1.285,0.234,12,0.316,-1.439
0,2.523,3,0.953,1.487,0.471,16,0.471,-2.663
1,1.619,3,0.945,1.23,0.343,1,1.177,-0.905
1,1.073,4,0.847,1.745,0.266,10,1.038,-0.776
1,1.508,2,0.729,2.094,0.066,1,1.975,-0.96
1,1.152,2,0.876,2.903,0.994,1,1.517,-0.391
1,1.144,2,0.921,1.008,0.581,6,1.112,-1.229
1,1.25,2,0.892,1.259,0.332,23,2.067,-0.282
0,2.326,4,1.082,2.642,0.203,2,0.203,-1.357
1,1.157,2,0.724,1.359,1.349,19,1.349,-0.0
1,1.226,2,0.78,0.816,0.298,23,1.175,-0.311
0,1.206,2,0.492,3.493,0.29,4,0.29,-1.821
1,1.314,3,1.036,2.377,0.551,9,1.001,-0.739
1,1.88,3,0.896,2.752,0.463,14,1.764,-0.33
1,1.296,3,0.894,1.205,0.171,12,2.311,-0.374
1,1.456,2,1.35,0.935,2.815,14,2.815,-0.263
1,1.566,2,0.904,1.495,0.403,17,1.325,-0.394
1,1.44,2,0.752,1.148,1.18,18,1.18,-0.308
1,1.423,2,0.93,1.646,0.393,2,1.779,-0.552
1,3.734,3,1.278,1.675,1.712,8,1.712,-0.889
0,1.013,4,0.918,2.052,0.269,4,0.269,-1.356
0,1.083,2,0.685,1.189,0.09,17,0.09,-1.774
1,1.206,3,0.616,1.52,1.494,18,1.494,-0.105
1,1.471,2,0.675,2.693,0.261,18,1.054,-0.819
0,1.267,3,0.746,1.432,0.229,20,0.229,-1.543
1,1.263,3,0.948,1.294,0.452,17,1.009,-0.418
0,1.692,2,0.6,1.351,0.115,18,0.797,-1.841
1,1.292,2,1.939,1.315,0.621,8,1.581,-0.233
1,1.726,3,1.204,3.475,0.292,11,1.704,-0.592
